workflow,dataset,variable,dims,nan_fraction,min,max,mean
reflectance,scope_input,Rin,time,0.037735849056603765,406.13631944444444,679.9,562.1909463507625
reflectance,scope_input,Rli,time,0.037735849056603765,306.79861111111114,355.08000000000004,336.0472903050109
reflectance,scope_input,Ta,time,0.037735849056603765,13.639722222222224,26.8,22.25740059912854
reflectance,scope_input,ea,time,0.037735849056603765,9.379097222222223,19.9,14.32578431372549
reflectance,scope_input,p,time,0.037735849056603765,1004.5,1022.48,1012.7748502178649
reflectance,scope_input,u,time,0.037735849056603765,1.7,3.6599999999999997,2.547102396514161
reflectance,scope_input,LAI,y|x|time,0.037735849056603765,0.17054687500000001,5.854166666666667,1.7407812937421785
reflectance,scope_input,N,y|x|time,0.037735849056603765,1.42,2.41,1.9110189456063098
reflectance,scope_input,Cab,y|x|time,0.037735849056603765,18.895390625,54.92,32.73556505971529
reflectance,scope_input,Cca,y|x|time,0.037735849056603765,4.72384765625,13.73,8.183891264928823
reflectance,scope_input,Cdm,y|x|time,0.037735849056603765,0.0034000000000000002,0.0222,0.010879425820964959
reflectance,scope_input,Cw,y|x|time,0.037735849056603765,0.00571640625,0.0384825,0.022497279671887565
reflectance,scope_input,ala,y|x|time,0.037735849056603765,31.887249999999998,61.5585625,46.2758467545583
reflectance,scope_input,Cs,y|x|time,0.037735849056603765,0.1184375,0.77734375,0.33799741992065924
reflectance,scope_input,BSMBrightness,y|x|time,0.0,0.4452948570251465,0.5865371227264404,0.5546757895499468
reflectance,scope_input,BSMlat,y|x|time,0.0,13.273616790771484,21.711877822875977,18.380860060453415
reflectance,scope_input,BSMlon,y|x|time,0.0,42.885047912597656,61.09459686279297,46.240326166152954
reflectance,scope_input,SMC,y|x|time,0.0,12.093463897705078,25.97683334350586,16.239609122276306
reflectance,scope_input,tts,time,0.0,30.64587380283801,54.87748945971073,38.36592835201034
reflectance,scope_input,tto,time,0.0,0.0,0.0,0.0
reflectance,scope_input,psi,time,0.0,196.97290818647707,213.76187924449505,207.87870179388167
reflectance,scope_output,leaf_refl,y|x|time|wavelength,0.0,0.025761764496564865,0.5697954893112183,0.24839773943539462
reflectance,scope_output,leaf_tran,y|x|time|wavelength,0.0,6.739976925018709e-06,0.46807464957237244,0.20662332640477443
reflectance,scope_output,rdd,y|x|time|wavelength,0.0,0.009523563086986542,0.6338481903076172,0.20387106535855476
reflectance,scope_output,tdd,y|x|time|wavelength,0.0,0.0030253103468567133,0.9077699184417725,0.4518101822612195
reflectance,scope_output,rsd,y|x|time|wavelength,0.0,0.008359242230653763,0.5612785816192627,0.18547683776148383
reflectance,scope_output,tsd,y|x|time|wavelength,0.0,0.00024609052343294024,0.2776713967323303,0.0664505266328292
reflectance,scope_output,rdo,y|x|time|wavelength,0.0,0.007875696755945683,0.5309848785400391,0.1764005917964971
reflectance,scope_output,tdo,y|x|time|wavelength,0.0,0.0002377673372393474,0.2649182081222534,0.05765932466878869
reflectance,scope_output,rso,y|x|time|wavelength,0.0,0.011638606898486614,0.5838791131973267,0.18669355859194922
reflectance,scope_output,rsos,y|x|time|wavelength,0.0,0.011587271466851234,0.30058178305625916,0.14121418567003355
reflectance,scope_output,rsod,y|x|time|wavelength,0.0,4.807329241884872e-05,0.3423750102519989,0.04547937292134998
reflectance,scope_output,rddt,y|x|time|wavelength,0.0,0.009523563086986542,0.6338481903076172,0.20387106535855476
reflectance,scope_output,rsdt,y|x|time|wavelength,0.0,0.008359242230653763,0.5612785816192627,0.18547683776148383
reflectance,scope_output,rdot,y|x|time|wavelength,0.0,0.007875696755945683,0.5309848785400391,0.1764005917964971
reflectance,scope_output,rsodt,y|x|time|wavelength,0.0,4.807329241884872e-05,0.3423750102519989,0.04547937292134998
reflectance,scope_output,rsost,y|x|time|wavelength,0.0,0.011587271466851234,0.30058178305625916,0.14121418567003355
reflectance,scope_output,rsot,y|x|time|wavelength,0.0,0.011638606898486614,0.5838791131973267,0.18669355859194922
reflectance,scope_output,tss,y|x|time,0.0,0.026011861860752106,0.9006019830703735,0.4676959346776679
reflectance,scope_output,too,y|x|time,0.0,0.0475323386490345,0.9150763154029846,0.5309083234564893
reflectance,scope_output,tsstoo,y|x|time,0.0,0.0021270071156322956,0.837723970413208,0.3477443795211757
reflectance,scope_output,gammasdf,y|x|time|wavelength,0.0,0.06310946494340897,1.006529688835144,0.39436809406597395
reflectance,scope_output,gammasdb,y|x|time|wavelength,0.0,0.14970964193344116,1.8123259544372559,0.5818948143733397
reflectance,scope_output,gammaso,y|x|time|wavelength,0.0,0.08211512118577957,1.7339003086090088,0.44301347552928055
fluorescence,scope_input,Rin,time,0.037735849056603765,406.13631944444444,679.9,562.1909463507625
fluorescence,scope_input,Rli,time,0.037735849056603765,306.79861111111114,355.08000000000004,336.0472903050109
fluorescence,scope_input,Ta,time,0.037735849056603765,13.639722222222224,26.8,22.25740059912854
fluorescence,scope_input,ea,time,0.037735849056603765,9.379097222222223,19.9,14.32578431372549
fluorescence,scope_input,p,time,0.037735849056603765,1004.5,1022.48,1012.7748502178649
fluorescence,scope_input,u,time,0.037735849056603765,1.7,3.6599999999999997,2.547102396514161
fluorescence,scope_input,LAI,y|x|time,0.037735849056603765,0.17054687500000001,5.854166666666667,1.7407812937421785
fluorescence,scope_input,N,y|x|time,0.037735849056603765,1.42,2.41,1.9110189456063098
fluorescence,scope_input,Cab,y|x|time,0.037735849056603765,18.895390625,54.92,32.73556505971529
fluorescence,scope_input,Cca,y|x|time,0.037735849056603765,4.72384765625,13.73,8.183891264928823
fluorescence,scope_input,Cdm,y|x|time,0.037735849056603765,0.0034000000000000002,0.0222,0.010879425820964959
fluorescence,scope_input,Cw,y|x|time,0.037735849056603765,0.00571640625,0.0384825,0.022497279671887565
fluorescence,scope_input,ala,y|x|time,0.037735849056603765,31.887249999999998,61.5585625,46.2758467545583
fluorescence,scope_input,Cs,y|x|time,0.037735849056603765,0.1184375,0.77734375,0.33799741992065924
fluorescence,scope_input,BSMBrightness,y|x|time,0.0,0.4452948570251465,0.5865371227264404,0.5546757895499468
fluorescence,scope_input,BSMlat,y|x|time,0.0,13.273616790771484,21.711877822875977,18.380860060453415
fluorescence,scope_input,BSMlon,y|x|time,0.0,42.885047912597656,61.09459686279297,46.240326166152954
fluorescence,scope_input,SMC,y|x|time,0.0,12.093463897705078,25.97683334350586,16.239609122276306
fluorescence,scope_input,tts,time,0.0,30.64587380283801,54.87748945971073,38.36592835201034
fluorescence,scope_input,tto,time,0.0,0.0,0.0,0.0
fluorescence,scope_input,psi,time,0.0,196.97290818647707,213.76187924449505,207.87870179388167
fluorescence,scope_input,Esun_sw,time|wavelength,0.037735849056603765,0.0,232.58065047517678,41.79217531532723
fluorescence,scope_input,Esky_sw,time|wavelength,0.037735849056603765,2.7283087994226284e-08,1804.5179111801622,239.5546535088311
fluorescence,scope_input,Esun_,time|excitation_wavelength,0.037735849056603765,73.30137217236249,487.85220625192096,238.25060864186673
fluorescence,scope_input,Esky_,time|excitation_wavelength,0.037735849056603765,405.63167821206235,2289.1255587797623,1368.031697084826
fluorescence,scope_input,fqe,y|x|time,0.037735849056603765,0.0064111029319595374,0.015402460624030709,0.010525404196237025
fluorescence,scope_output,leaf_refl,y|x|time|wavelength,0.0,0.025761764496564865,0.5697954893112183,0.24839773943539462
fluorescence,scope_output,leaf_tran,y|x|time|wavelength,0.0,6.739976925018709e-06,0.46807464957237244,0.20662332640477443
fluorescence,scope_output,rdd,y|x|time|wavelength,0.0,0.009523563086986542,0.6338481903076172,0.20387106535855476
fluorescence,scope_output,tdd,y|x|time|wavelength,0.0,0.0030253103468567133,0.9077699184417725,0.4518101822612195
fluorescence,scope_output,rsd,y|x|time|wavelength,0.0,0.008359242230653763,0.5612785816192627,0.18547683776148383
fluorescence,scope_output,tsd,y|x|time|wavelength,0.0,0.00024609052343294024,0.2776713967323303,0.0664505266328292
fluorescence,scope_output,rdo,y|x|time|wavelength,0.0,0.007875696755945683,0.5309848785400391,0.1764005917964971
fluorescence,scope_output,tdo,y|x|time|wavelength,0.0,0.0002377673372393474,0.2649182081222534,0.05765932466878869
fluorescence,scope_output,rso,y|x|time|wavelength,0.0,0.011638606898486614,0.5838791131973267,0.18669355859194922
fluorescence,scope_output,rsos,y|x|time|wavelength,0.0,0.011587271466851234,0.30058178305625916,0.14121418567003355
fluorescence,scope_output,rsod,y|x|time|wavelength,0.0,4.807329241884872e-05,0.3423750102519989,0.04547937292134998
fluorescence,scope_output,rddt,y|x|time|wavelength,0.0,0.009523563086986542,0.6338481903076172,0.20387106535855476
fluorescence,scope_output,rsdt,y|x|time|wavelength,0.0,0.008359242230653763,0.5612785816192627,0.18547683776148383
fluorescence,scope_output,rdot,y|x|time|wavelength,0.0,0.007875696755945683,0.5309848785400391,0.1764005917964971
fluorescence,scope_output,rsodt,y|x|time|wavelength,0.0,4.807329241884872e-05,0.3423750102519989,0.04547937292134998
fluorescence,scope_output,rsost,y|x|time|wavelength,0.0,0.011587271466851234,0.30058178305625916,0.14121418567003355
fluorescence,scope_output,rsot,y|x|time|wavelength,0.0,0.011638606898486614,0.5838791131973267,0.18669355859194922
fluorescence,scope_output,tss,y|x|time,0.0,0.026011861860752106,0.9006019830703735,0.4676959346776679
fluorescence,scope_output,too,y|x|time,0.0,0.0475323386490345,0.9150763154029846,0.5309083234564893
fluorescence,scope_output,tsstoo,y|x|time,0.0,0.0021270071156322956,0.837723970413208,0.3477443795211757
fluorescence,scope_output,gammasdf,y|x|time|wavelength,0.0,0.06310946494340897,1.006529688835144,0.39436809406597395
fluorescence,scope_output,gammasdb,y|x|time|wavelength,0.0,0.14970964193344116,1.8123259544372559,0.5818948143733397
fluorescence,scope_output,gammaso,y|x|time|wavelength,0.0,0.08211512118577957,1.7339003086090088,0.44301347552928055
fluorescence,scope_output,leaf_fluor_back,y|x|time|fluorescence_wavelength,0.0,0.0,5.998819351196289,0.6524622819120366
fluorescence,scope_output,leaf_fluor_forw,y|x|time|fluorescence_wavelength,0.0,0.0,4.126674652099609,0.42861223101597223
fluorescence,scope_output,LoF_sunlit,y|x|time|fluorescence_wavelength,0.0,0.0,2.145254373550415,0.2437253818631131
fluorescence,scope_output,LoF_shaded,y|x|time|fluorescence_wavelength,0.0,0.0,0.28321734070777893,0.03651580169108966
fluorescence,scope_output,LoF_scattered,y|x|time|fluorescence_wavelength,0.0,0.0,2.857818841934204,0.1515890087020378
fluorescence,scope_output,LoF_soil,y|x|time|fluorescence_wavelength,0.0,0.0,0.2102285623550415,0.023765551163307808
fluorescence,scope_output,Femleaves_,y|x|time|fluorescence_wavelength,0.0,0.0,37.43006896972656,3.946922123274416
fluorescence,scope_output,EoutFrc_,y|x|time|fluorescence_wavelength,0.0,0.0,82.27001953125,8.352025134634493
fluorescence,scope_output,EoutF_,y|x|time|fluorescence_wavelength,0.0,0.0,19.22809600830078,1.8530525021778257
fluorescence,scope_output,LoF_,y|x|time|fluorescence_wavelength,0.0,0.0,5.243548393249512,0.45559574351031024
fluorescence,scope_output,sigmaF,y|x|time|fluorescence_wavelength,0.0,0.0,0.5561172962188721,0.22509130027903143
fluorescence,scope_output,fluorescence_gammasdf,y|x|time|fluorescence_wavelength,0.0,0.06461915373802185,0.9989878535270691,0.4467237717258582
fluorescence,scope_output,fluorescence_gammasdb,y|x|time|fluorescence_wavelength,0.0,0.1499796062707901,1.7966848611831665,0.6516774750301225
fluorescence,scope_output,fluorescence_gammaso,y|x|time|fluorescence_wavelength,0.0,0.082260861992836,1.718087911605835,0.5013841665940473
fluorescence,scope_output,F685,y|x|time,0.0,0.0,0.9760752320289612,0.41722253467316545
fluorescence,scope_output,wl685,y|x|time,0.0,640.0,700.0,697.7358490566038
fluorescence,scope_output,F740,y|x|time,0.0,0.0,5.243548393249512,1.5543510564163607
fluorescence,scope_output,wl740,y|x|time,0.0,700.0,744.0,739.748820754717
fluorescence,scope_output,F684,y|x|time,0.0,0.0,0.7592622637748718,0.33013191697064714
fluorescence,scope_output,F761,y|x|time,0.0,0.0,3.576413869857788,0.999958720868717
fluorescence,scope_output,LoutF,y|x|time,0.0,0.0,0.307191401720047,0.09658484269737459
fluorescence,scope_output,EoutF,y|x|time,0.0,0.0,1.1262798309326172,0.3928413453637095
fluorescence,scope_output,Fmin_,y|x|time|layer|fluorescence_wavelength,0.0,0.0,14.415572166442871,0.9452198521139463
fluorescence,scope_output,Fplu_,y|x|time|layer|fluorescence_wavelength,0.0,0.0,19.22809600830078,0.8952465164897037
thermal,scope_input,Rin,time,0.037735849056603765,406.13631944444444,679.9,562.1909463507625
thermal,scope_input,Rli,time,0.037735849056603765,306.79861111111114,355.08000000000004,336.0472903050109
thermal,scope_input,Ta,time,0.037735849056603765,13.639722222222224,26.8,22.25740059912854
thermal,scope_input,ea,time,0.037735849056603765,9.379097222222223,19.9,14.32578431372549
thermal,scope_input,p,time,0.037735849056603765,1004.5,1022.48,1012.7748502178649
thermal,scope_input,u,time,0.037735849056603765,1.7,3.6599999999999997,2.547102396514161
thermal,scope_input,LAI,y|x|time,0.037735849056603765,0.17054687500000001,5.854166666666667,1.7407812937421785
thermal,scope_input,N,y|x|time,0.037735849056603765,1.42,2.41,1.9110189456063098
thermal,scope_input,Cab,y|x|time,0.037735849056603765,18.895390625,54.92,32.73556505971529
thermal,scope_input,Cca,y|x|time,0.037735849056603765,4.72384765625,13.73,8.183891264928823
thermal,scope_input,Cdm,y|x|time,0.037735849056603765,0.0034000000000000002,0.0222,0.010879425820964959
thermal,scope_input,Cw,y|x|time,0.037735849056603765,0.00571640625,0.0384825,0.022497279671887565
thermal,scope_input,ala,y|x|time,0.037735849056603765,31.887249999999998,61.5585625,46.2758467545583
thermal,scope_input,Cs,y|x|time,0.037735849056603765,0.1184375,0.77734375,0.33799741992065924
thermal,scope_input,BSMBrightness,y|x|time,0.0,0.4452948570251465,0.5865371227264404,0.5546757895499468
thermal,scope_input,BSMlat,y|x|time,0.0,13.273616790771484,21.711877822875977,18.380860060453415
thermal,scope_input,BSMlon,y|x|time,0.0,42.885047912597656,61.09459686279297,46.240326166152954
thermal,scope_input,SMC,y|x|time,0.0,12.093463897705078,25.97683334350586,16.239609122276306
thermal,scope_input,tts,time,0.0,30.64587380283801,54.87748945971073,38.36592835201034
thermal,scope_input,tto,time,0.0,0.0,0.0,0.0
thermal,scope_input,psi,time,0.0,196.97290818647707,213.76187924449505,207.87870179388167
thermal,scope_input,Esun_sw,time|wavelength,0.037735849056603765,0.0,232.58065047517678,41.79217531532723
thermal,scope_input,Esky_sw,time|wavelength,0.037735849056603765,2.7283087994226284e-08,1804.5179111801622,239.5546535088311
thermal,scope_input,Esun_,time|excitation_wavelength,0.037735849056603765,73.30137217236249,487.85220625192096,238.25060864186673
thermal,scope_input,Esky_,time|excitation_wavelength,0.037735849056603765,405.63167821206235,2289.1255587797623,1368.031697084826
thermal,scope_input,Tcu,time|y|x,0.037735849056603765,14.57499336418352,29.45775537323146,23.908836088088748
thermal,scope_input,Tch,time|y|x,0.037735849056603765,14.058907935820857,28.12023120771444,23.037432502829517
thermal,scope_input,Tsu,time|y|x,0.037735849056603765,16.05799038668126,29.21537875232661,24.877155556187834
thermal,scope_input,Tsh,time|y|x,0.037735849056603765,14.737405222133615,27.616776770435788,23.460181392251716
thermal,scope_output,leaf_refl,y|x|time|wavelength,0.0,0.025761764496564865,0.5697954893112183,0.24839773943539462
thermal,scope_output,leaf_tran,y|x|time|wavelength,0.0,6.739976925018709e-06,0.46807464957237244,0.20662332640477443
thermal,scope_output,rdd,y|x|time|wavelength,0.0,0.009523563086986542,0.6338481903076172,0.20387106535855476
thermal,scope_output,tdd,y|x|time|wavelength,0.0,0.0030253103468567133,0.9077699184417725,0.4518101822612195
thermal,scope_output,rsd,y|x|time|wavelength,0.0,0.008359242230653763,0.5612785816192627,0.18547683776148383
thermal,scope_output,tsd,y|x|time|wavelength,0.0,0.00024609052343294024,0.2776713967323303,0.0664505266328292
thermal,scope_output,rdo,y|x|time|wavelength,0.0,0.007875696755945683,0.5309848785400391,0.1764005917964971
thermal,scope_output,tdo,y|x|time|wavelength,0.0,0.0002377673372393474,0.2649182081222534,0.05765932466878869
thermal,scope_output,rso,y|x|time|wavelength,0.0,0.011638606898486614,0.5838791131973267,0.18669355859194922
thermal,scope_output,rsos,y|x|time|wavelength,0.0,0.011587271466851234,0.30058178305625916,0.14121418567003355
thermal,scope_output,rsod,y|x|time|wavelength,0.0,4.807329241884872e-05,0.3423750102519989,0.04547937292134998
thermal,scope_output,rddt,y|x|time|wavelength,0.0,0.009523563086986542,0.6338481903076172,0.20387106535855476
thermal,scope_output,rsdt,y|x|time|wavelength,0.0,0.008359242230653763,0.5612785816192627,0.18547683776148383
thermal,scope_output,rdot,y|x|time|wavelength,0.0,0.007875696755945683,0.5309848785400391,0.1764005917964971
thermal,scope_output,rsodt,y|x|time|wavelength,0.0,4.807329241884872e-05,0.3423750102519989,0.04547937292134998
thermal,scope_output,rsost,y|x|time|wavelength,0.0,0.011587271466851234,0.30058178305625916,0.14121418567003355
thermal,scope_output,rsot,y|x|time|wavelength,0.0,0.011638606898486614,0.5838791131973267,0.18669355859194922
thermal,scope_output,tss,y|x|time,0.0,0.026011861860752106,0.9006019830703735,0.4676959346776679
